,id,publish_time,title,channelId,channelTitle,,dimension,definition,caption,licensedContent,viewCount,likeCount,commentCount,favoriteCount,categoryId,category,tags
0,ktesDdqT5lU,2022-12-07T16:00:12Z,"Brawl Stars: Brawl Talk - BYE Boxes, FREE New Brawler, and STARR ROAD!!!",UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,,2d,hd,TRUE,TRUE,7024697,432678,37336,0,20,Gaming,"['brawl stars', 'mobile game', 'mobile strategy game', 'mobile rpg', 'mobile battle royale', 'battle royale', 'supercell game', 'byebyeboxes', '3 new brawlers', 'starr road', 'candyland', 'season 16']"
1,R15uYFpeBG0,2022-12-07T15:30:29Z,Star Wars: The Bad Batch Season 2 | Official Trailer | Disney+,UCZGYJFUizSax-yElQaFDp5Q,Star Wars,,2d,hd,TRUE,TRUE,1644762,71588,3951,0,20,Gaming,
2,LXzPkkQirnM,2022-12-06T14:00:15Z,[HOONIGAN] Gymkhana 2022: Travis Pastrana Goes Berserk in Florida in a 862HP Subaru Wagon,UCXlfi8sf6cKGQ8sOd0-yRuw,Hoonigan,,2d,hd,FALSE,TRUE,4517495,195673,10418,0,20,Gaming,"['Hoonigan', 'hoonegan', 'Ken Block', 'hoon', 'hooning', 'travis pastrana', 'travis pastrana gymkhana', 'gymkhana 2022', 'subaru gl wagon gymkhana', 'subaru motorsports', 'travis pastrana subaru', 'fort lauderdale', 'modified cars', 'car stunts', 'gymkhana 11', 'gymkhana eleven', 'subaru gymkhana', 'cleetus mcfarland', 'el camino', 'drag race', 'dragsters', 'drag racers', 'monster truck', 'monster jam', 'grave digger', 'sonuva digger', 'son-uva digger', 'helicopter', 'florida', 'subaru wagon', 'ft lauderdale']"
3,ue_Vvfed6T4,2022-12-07T15:00:06Z,The 10 best new Pokémon in Scarlet and Violet,UC9OZkS1Mhl5UvKSiPrYqsxg,WolfeyVGC,,2d,hd,FALSE,TRUE,506090,25148,1795,0,20,Gaming,"['Wolfey', 'Pokemon', 'VGC', 'Wolfe Glick', 'Competitive Pokemon', 'Pokemon VGC', 'twitch', 'pokemon nuzlocke', 'nuzlocke', 'hardcore nuzlocke', 'smallant', 'ludwig', 'pokemon challenge', 'pokemon challenges', 'alpharad', 'wolfeyvgc', 'purplecliffe', 'pm7', 'pokemen7', 'mandjtv', 'shiny pokemon', 'pokemon scarlet', 'pokemon violet', 'scarlet', 'violet', 'scarlet and violet', 'fuecoco', 'quaxly', 'sprigatito', 'new pokemon', 'Pokémon', 'best new pokemon', '10 best new pokemon', 'scarlet and violet new pokemon', 'strongest new pokemon', 'new pokemon tier list']"
4,nMIG5iGvylY,2022-12-06T19:05:03Z,Game Theory: You Are Being LIED To! (Bendy and The Dark Revival),UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,,2d,hd,TRUE,TRUE,1404546,77286,3253,0,20,Gaming,"['Bendy and the dark revival', 'bendy', 'bendy 2', 'batdr', 'bendy and the ink machine', 'batim', 'bendy lore', 'bendy lore explained', 'bendy ending explained', 'bendy theory', 'bendy explained', 'bendy bendy ending', 'bendy full game', 'bend 2 trailer', 'bendy and the dark revival trailer', 'bendy and the dark revival ending', 'bendy alice angel', 'bendy all endings', 'MatPat', 'Game Theory', 'Game Theory Bendy', 'MatPat Bendy', 'bendy and the dark revival full game', 'bendy and the dark revival gameplay', 'game theorists']"
5,IuY54A3bOmg,2022-12-07T16:00:16Z,Lana Del Rey - Did you know that there's a tunnel under Ocean Blvd (Audio),UC3N5y6UWKJaKqoU2b_0MfTQ,LanaDelReyVEVO,,2d,hd,FALSE,TRUE,1234863,187876,19714,0,10,Music,"['Lana', 'Del', 'Rey', 'Did', 'you', 'know', 'that', ""there's"", 'tunnel', 'under', 'Ocean', 'Blvd', '(Audio)', 'Polydor', 'Records', 'Pop']"
6,2xUKzeflvR0,2022-12-07T16:50:52Z,True Facts: Animal Awards,UCVpankR4HtoAVtYnFDUieYA,zefrank1,,2d,hd,FALSE,TRUE,475474,49549,1484,0,10,Music,
7,lPdhXdSiBzY,2022-12-07T15:44:05Z,Bangladesh vs India Highlights || 2nd ODI || India tour of Bangladesh 2022,UCNU0Vv6U1xZS82cIQrgDeqw,Rabbihtolebd Sports,,2d,hd,FALSE,TRUE,6998725,135890,8567,0,10,Music,"['gtv live', 'rabbithole live', 'cricket live', 'live cricket', 'Rabbitholebd Sports', 'Gtv live', 'Gazi tv', 'cricket match highlights', 'match highlights video', 'cricket highlights', 'odi highlights', 'Highlights', 'gtv live cricket', 'gtv live streaming', 'odi live', 'odi cricket match', 'Bangladesh vs India', 'BDvsIN', 'Banvsind', 'India vs Bangladesh', 'Bangladesh', 'India', 'Shakib Al Hasan', 'Miraz', 'Kohli', 'India tour of Bangladesh', 'All', 'Wickets', 'Bangladesh vs India Highlights || 2nd ODI || India tour of Bangladesh 2022']"
8,x41zqK4JLA0,2022-12-06T19:16:41Z,CHAPTER 4 MEMES (best season),UCw1SQ6QRRtfAhrN_cjkrOgA,LazarBeam,,2d,hd,FALSE,TRUE,2147434,132850,4387,0,10,Music,
9,G-d2bkcPEb4,2022-12-07T17:00:12Z,I Built a LEGO Train Around My CEILING!,UCq4qiifOaFGW3a2oljSfxUg,Half-Asleep Chris,,2d,hd,TRUE,TRUE,397902,18874,1551,0,10,Music,
10,sV-kFe_Wbt8,2022-12-06T21:36:00Z,Pat McAfee Reacts To Andrew Luck Finally Explaining Why He Retired 3 Years After,UCxcTeAKWJca6XyJ37_ZoKIQ,The Pat McAfee Show,,2d,hd,FALSE,TRUE,1039953,12967,2696,0,17,Sports,"['pat mcafee', 'podcast', 'sports', 'nfl', 'ncaa', 'football', 'kicker', 'pat mcafee show', 'american football', 'nfl news', 'pat mcafee clips', 'pat mcafee reacts', 'pat mcafee highlights', 'pat mcafee live', 'pat mcafee show live', 'pat mcafee podcast', 'the pat mcafee show', 'pat mcafee andrew luck', 'pat mcafee andrew luck retirement', 'pat mcafee andrew luck picture', 'andrew luck', 'andrew luck highlights', 'andrew luck retiring', 'andrew luck retirement speech', 'andrew luck interview', 'andrew luck retires during game']"
11,M4nVV0XJbN8,2022-12-07T03:39:37Z,2022 Music Icon Shania Twain Performs | People’s Choice Awards 2022,UCccjdJEay2hpb5scz61zY6Q,NBC,,2d,hd,TRUE,TRUE,285471,3206,413,0,17,Sports,"['shania twain', 'music icon', 'performance', '2022 people’s choice awards', 'nbc', 'live', 'tuesday night', 'award show', 'celebrities', 'performances', 'winner', 'people’s choice', 'country music', 'music icon performance']"
12,vwbQxMY7yds,2022-12-06T18:05:06Z,Film Theory: Who’s REALLY in Control?! (DHMIS),UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists,,2d,hd,TRUE,TRUE,1682778,111183,3871,0,17,Sports,"['Dhmis', 'don’t hug me i’m scared', 'dhmis tv show', 'dhmis season 2', 'dhmis season 1', 'dhmis tv', 'dont hug me im scared season 2', 'don’t hug me i’m scared 2022', 'dont hug me im scared new episodes', 'dhmis react', 'dhmis reaction', 'dhmis trailer', 'dhmis theory', 'dhmis episode one', 'dont hug me im scared', 'don’t hug me im scared tv show', 'red guy', 'yellow guy', 'dhmis duck', 'dhmis episode 1', 'dhmis episode 2', 'dhmis intro', 'dhmis book', 'lesley dhmis', 'matpat dhmis', ""don't hug me i'm scared""]"
13,9K0tx1afExw,2022-12-06T20:15:00Z,Hermitcraft 9: Episode 30 - BACK TO HERMITCRAFT!,UCR9Gcq0CMm6YgTzsDxAxjOQ,Grian,,2d,hd,TRUE,TRUE,867032,64924,4194,0,17,Sports,"['Minecraft', 'Grian', 'building', 'grian', 'mincraft', 'yt:quality=high', 'minecraft', 'hermitcraft', 'minecraft hermitcraft', 'season 9', 'grian hermitcraft', 'grumbot', 'minecraft multiverse', 'episode 30']"
14,a1OrQIg-7ao,2022-12-06T15:00:08Z,Destiny 2: The Witch Queen - Season of the Seraph Trailer,UC52XYgEExV9VG6Rt-6vnzVA,Destiny 2,,2d,hd,TRUE,FALSE,932948,31273,3389,0,17,Sports,['Destiny']
15,Qsbe1pD8ocE,2022-12-06T15:52:00Z,The Horror of the Slaver Ant,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,,2d,hd,TRUE,TRUE,2567337,168832,6649,0,27,Education,
16,1ez1tgiY5ds,2022-12-07T17:03:15Z,Avatar: The Way of Water l Nothing Is Lost (You Give Me Strength) by The Weeknd,UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,,2d,hd,FALSE,FALSE,516452,46897,2066,0,27,Education,"['the weeknd', 'avatar', 'avatar 2', 'avatar the Wayne of water', 'the way of water avatar', 'the weeknd avatar', 'the weeknd avatar the way of water', 'the weeknd nothing is lost', 'weeknd', 'weeknd avatar', 'weeknd nothing is lost', 'nothing is lost weeknd', 'nothing is lost weeknd avatar', 'the weekend']"
17,2vfmL4q2koo,2022-12-06T15:00:00Z,RM 'Still Life (with Anderson .Paak)' Official MV,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,,2d,hd,TRUE,TRUE,4989437,1092067,59217,0,27,Education,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈']"
18,OoDHM_A1axc,2022-12-07T15:59:35Z,M3GAN - official trailer 2,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,,2d,hd,TRUE,TRUE,850550,12061,1730,0,27,Education,
19,rL0aTngmXsc,2022-12-07T00:00:10Z,Fredo Bang - Double Dutch (Official Video),UC8FHFLWe9KkG0eoxPMIgcpg,Fredo Bang,,2d,hd,FALSE,TRUE,185193,15202,786,0,27,Education,
20,_G1g7UxSFRg,2022-12-07T01:00:09Z,Rio Da Yung OG - Speak The Truth (Official Video),UCjUy5GbylYJC6kxJZYRwwVA,Rio Da Yung OG,,2d,hd,FALSE,TRUE,160891,18614,1505,0,10,Music,"['Rio Da Yung OG', 'Speak The Truth', '#Boyz Entertainment LLC', 'Empire']"
21,zqlKtXf8eo0,2022-12-07T14:15:02Z,I dry-aged STEAKS in 3 yrs. PEPPERS and eat it!,UCfE5Cz44GlZVyoaYTHJbuZw,Guga Foods,,2d,hd,FALSE,TRUE,509827,19936,1148,0,10,Music,"['spicy', 'dry age', 'experiment', 'cooking', 'griling', 'best steak', 'steak cooking', 'how to grill', 'how to make steak', 'spicy steak', 'steak experiment', 'food', 'steak expert', 'steak channel']"
22,fMPJ1uEfWz0,2022-12-06T23:48:06Z,"Thank you, Benny",UCOgaIuQYGr6ow_jbote4BKA,Maximilian Dood,,2d,hd,FALSE,TRUE,557360,81965,12559,0,10,Music,"['maximilian', 'dood', 'fighting', 'games', 'capcom', 'street', 'fighter', 'hype', 'rage', 'max', 'reaction', 'twitch', 'videos', 'yo', 'videogames', 'maximilian_dood', 'max dood', 'dude', 'stream', 'streaming', 'benny', 'dog']"
23,Ss9AjwvRHGk,2022-12-07T04:00:09Z,XSOLEIL - HOLD IT DOWN (Official Music Video) | NIJISANJI EN,UC-JSeFfovhNsEhftt1WHMvg,NIJISANJI EN Official,,2d,hd,FALSE,TRUE,670777,86226,3946,0,10,Music,"['にじさんじ', 'nijisanji', 'NIJISANJI EN', 'NIJISANJI English', 'LazuLight', 'envtuber', 'Vtuber', 'vtuber', 'virtual youtuber', 'anime', 'OBSYDIA', 'Ethyria', 'Luxiem', 'Noctyx', 'ILUNA', 'XSOLEIL', 'Zaion LanZa', 'Doppio Dropscythe', 'Meloco Kyoran', 'Hex Haywire', 'Kotoka Torahime', 'Ver Vermillion', 'aia amare', 'kyo kaneko', 'nijisanji vtuber debut', 'debut program', 'nijisanji en debut']"
24,rWoEsIBYwn8,2022-12-07T14:00:10Z,Guiding Stars 2022,UCEeHmfGLcSga8gRlHCMt6zg,Google Local Guides,,2d,hd,TRUE,FALSE,325614,19509,6886,0,10,Music,
25,l57BByr5-V8,2022-12-07T01:09:53Z,Sounds from the Sideline | #INDvsDAL | Dallas Cowboys 2022,UCC0BPKJxAyxjQoRTYbpW0FQ,Dallas Cowboys,,2d,hd,FALSE,TRUE,238752,6798,585,0,17,Sports,"['dallas cowboys', 'sounds from the sideline dallas cowboys', 'cowboys', 'dallas cowboys sounds from the sideline', 'micah parsons', 'cowboys sounds from the sideline', 'micah parsons highlights', 'dak presoctt', 'trevon diggs', ""cowboys mic'd up"", 'ceedee lamb', ""dallas cowboys mic'd up"", 'cowboys vs washington', 'sounds of the sideline cowboys', 'cowboys sound', 'cowboys sideline sounds', 'cowboys break', 'talkin cowboys', 'dallas cowboys highlights', 'hanging with the boys', 'ezekiel elliott']"
26,QYROE3BcHVg,2022-12-06T21:15:10Z,Portugal vs. Switzerland Highlights | 2022 FIFA World Cup,UCooTLkxcpnTNx6vfOovfBFA,FOX Soccer,,2d,hd,FALSE,TRUE,2645495,24409,3006,0,17,Sports,"['raphael guerreiro', 'cristiano ronaldo', 'rafel leao', 'portugal', 'switzerland', 'world cup', 'portugal vs switzerland', 'world cup highlights', 'goncalo ramos', 'pepe', 'ronaldo', 'ramos', 'soccer', 'fox soccer', 'soccer on fox', 'world cup on fox', 'fox sports', 'fifa world cup', '2022 fifa world cup', 'fifa world cup mens', 'mens fifa world cup', 'fifa world cup 22', 'fifa world cup highlights', 'qatar', 'qatar world cup', 'fifa world cup 2022', 'round of 16', 'knockout stage']"
27,2C0C8iC7rbc,2022-12-07T06:27:50Z,Inside the NBA reacts to Steph Curry Full Court Shots Video 😁,UCqQo7ewe87aYAe7ub5UqXMw,House of Highlights,,2d,hd,TRUE,TRUE,495577,7135,684,0,17,Sports,"['stephen curry', 'golden state warriors', 'nba', 'steph curry', 'stephen curry highlights', 'inside the nba', 'shaq', ""shaquille o'neal"", 'charles barkley']"
28,giOOCTS-b3I,2022-12-06T17:00:19Z,A Boogie Wit da Hoodie - Water (Drowning Pt.2) (feat. Kodak Black) [Official Visualizer],UCfgsFOdVScKetBXYrFNr5LQ,A Boogie Wit da Hoodie,,2d,hd,FALSE,TRUE,386909,22950,1263,0,17,Sports,"['artisthbtl', 'a boogie wit da hoodie', 'a boogie', 'hoodie szn', 'look back at it', 'international artist', 'the bigger artist', 'artist', 'highbridge', 'highbridge the label', 'atlantic', 'atlantic records', 'drowning', 'keke', 'my shit', 'beast mode', 'horses', 'jungle', 'kodak black', 'me vs myself', 'take shots', 'tory lanez', 'kai cenat', 'apollo theater', 'from the block', 'bouba savage', 'b lovee', 'g herbo', 'lil durk', 'goat', 'whatnycsoundslike', 'barclays center', 'me vs myself tour', 'tiktok', 'trending', 'chanelly', 'don q', 'artist 2.0']"
29,QxHMixhJPHA,2022-12-07T14:00:10Z,How Much Does China Lie About Its Economic Statistics?,UCZ4AMrDcNrfy3X6nsU8-rPg,Economics Explained,,2d,hd,FALSE,TRUE,286227,11333,926,0,17,Sports,"['economics', 'economics explained', 'china', 'china economy', 'economy of china']"
30,DoTwT7pi2RE,2022-12-06T20:00:07Z,The Disturbing World of Anti-Piracy..,UCaKjtSZXjFLX-vynS5pRuYQ,tuv,,2d,hd,FALSE,TRUE,327201,26506,1592,0,24,Entertainment,"['tuv', 'The Disturbing World of Anti-Piracy Measures..']"
31,wOzVDJHllkU,2022-12-06T22:43:14Z,Creating Minecraft's Most Advanced Military,UCIDQSqdVuNwtfRMKqfX-o7g,Sipover,,2d,hd,FALSE,TRUE,471860,23038,1498,0,24,Entertainment,
32,6XpAb11hqy4,2022-12-06T16:00:02Z,Brendan Fraser & Adam Sandler | Actors on Actors,UCgRQHK8Ttr1j9xCEpCAlgbQ,Variety,,2d,hd,TRUE,TRUE,605427,20636,1432,0,24,Entertainment,"['Variety', 'Variety Studio', 'brendan fraser george of the jungle', 'brendan fraser airheads', 'adam sander brendan fraser snl', 'brendan fraser snl', 'adam sandler snl', 'adam sandler hustle', 'brendan fraser the whale', 'brendan fraser variety', 'actors on actors', 'brendan fraser interview']"
33,vluo9tQcTDU,2022-12-06T18:22:59Z,Morocco vs. Spain Highlights | 2022 FIFA World Cup | Round of 16,UCooTLkxcpnTNx6vfOovfBFA,FOX Soccer,,2d,hd,FALSE,TRUE,2815417,27031,4279,0,24,Entertainment,"['spain', 'morocco', 'spain vs morocco', 'yassine bono', 'world cup', 'spain vs morocco highlights', 'fifa world cup', 'bono', 'penalty kicks', 'pks', 'knockout stage', 'round of 16', 'morocco vs spain', 'soccer', 'fox soccer', 'soccer highlights', '2022 fifa world cup', 'fifa world cup mens', 'mens fifa world cup', 'fifa world cup 22', 'world cup highlights', 'fifa world cup highlights', 'qatar', 'qatar world cup', 'fifa world cup 2022']"
34,K1oVo6o74rw,2022-12-06T22:30:01Z,7 Ways to Escape Real Minecraft Prison,UC1n_yB_W-FZCbwajZPcs8Jw,UnspeakablePlays,,2d,hd,FALSE,TRUE,278653,5681,473,0,24,Entertainment,"['minecraft', 'unspeakable', 'unspeakableplays', 'mini game', 'game', 'custom', 'crazy', 'challenge', 'modded', 'games', 'maps', 'secret', 'funny moments', 'minecraft pe', 'pocket edition', 'unspeakablegaming', 'trolling', 'gameplay', 'playthrough', 'tutorial', 'traps', 'glitch', 'funny', 'craziest', 'prank', 'pranks', 'no cursing', 'no swearing', 'creations', 'facts', 'how to', 'parody', 'adventure', 'comedy', 'video', 'unspeakableplays minecraft', 'Minecraft in real life', 'Minecraft IRL', 'minecraft versus real life', 'Minecraft vs IRL', 'Minecraft but real', 'Minecraft prison escape']"
35,6gQ7N7HWeoI,2022-12-07T04:53:07Z,Sen. Warnock Georgia Senate race | Full victory speech,UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,,2d,hd,TRUE,TRUE,254986,4675,2472,0,25,News & Politics,"['candidates', 'elections', 'local', 'news', 'politics', 'elections 2022', 'warnock', 'warnock walker results', 'warnock walker', 'elections results']"
36,XTqQO3xYnxQ,2022-12-07T14:00:15Z,"After Disaster Strikes, Ben Gets SURPRISE Of A Lifetime!!",UCm6Enc4guGzJyAnQmq9BUSw,Fab Rats,,2d,hd,FALSE,TRUE,328403,42983,4189,0,25,News & Politics,"['fab rats', 'jeep', 'jeeping', 'matts off road recovery', 'surprise', 'new whip', 'giveaway', 'jeep build']"
37,4xLZ5Vc5s74,2022-12-07T06:24:19Z,HSBC BWF World Tour Finals 2022 | Tan/Muralitharan (MAS) vs. Rahayu/Ramadhanti (INA) | Group B,UChh-akEbUM8_6ghGVnJd6cQ,BWF TV,,2d,hd,FALSE,TRUE,120347,223,37,0,25,News & Politics,"['#HSBCbadminton', '#BWF', '#badminton', '#BWFWorldTour', '2022', 'HSBC BWF World Tour Finals 2022', 'wt_2022', 'HSBC BWF World Tour Finals', 'm_C99D04D4-0B11-416E-9F7B-3C1617AB775F_291', 'p_85551', 'TAN Pearly', 'p_68628', 'THINAAH Muralitharan', 'p_81462', 'Apriyani RAHAYU', 'p_88097', 'Siti Fadia Silva RAMADHANTI', 'r_R1', 't_C99D04D4-0B11-416E-9F7B-3C1617AB775F', 'donotshow']"
38,MVGHGzVxDr8,2022-12-07T04:00:08Z,Hanzel La H ❌ Randy Johnson ❌ (Official Video),UC-r4xTOSzBHlBtdct0LPuUw,Hanzel TV,,2d,hd,FALSE,TRUE,118614,6109,929,0,25,News & Politics,
39,Lcd0df7jwpM,2022-12-05T15:30:00Z,You People | feat. Eddie Murphy and Jonah Hill | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,,2d,hd,TRUE,TRUE,6401668,38784,3444,0,25,News & Politics,"['America', 'Anthony Anderson', 'Black', 'Clash', 'Comedy', 'Culture', 'David Duchovny', 'Eddie Murphy', 'Edgy', 'Family', 'Family Dynamics', 'Generational', 'Hate', 'Jewish', 'Jonah Hill', 'Julia Louis-Dreyfus', 'Lala Anthony', 'Lauren London', 'Love', 'Mike Epps', 'Modern Love', 'Muslim', 'Netflix', 'Netflix Film', 'Netflix Movie', 'Nia Long', 'Race', 'Religion', 'Rom-Com', 'Romance', 'Sam Jay', 'White', 'You People']"
40,f-WXOSecftw,2022-12-06T18:00:12Z,Try Not To Laugh Challenge #109 w/ Kallmekris,UCYJPby9DRCteedh5tfxVbrw,Smosh Pit,,2d,hd,FALSE,TRUE,513702,35674,1772,0,22,People & Blogs,"['smosh', 'smosh pit', 'smosh games', 'funny', 'comedy', 'kallmekris', 'kris collins', 'tiktok', 'tiktok comedian', 'improv comedy', 'improv']"
41,eqIMS3mNtyY,2022-12-07T02:28:13Z,Are Me And Brooklyn Together? THE TRUTH,UC7B5jDU0RvTtxKrUoIhBHiw,Jay Cinco,,2d,hd,FALSE,TRUE,173452,11215,775,0,22,People & Blogs,"['jy cinco', 'brook', 'jay and brooklyn', 'Brooklyn frost', 'jay cinco', 'new', 'comedy', 'couples', 'youth', 'black', 'funny']"
42,DROjvnApr3E,2022-12-07T01:39:32Z,I Built A Giant Spider-Man!,UCR_J_SntqJh5eXw66d5hJxA,Matthew Beem,,2d,hd,FALSE,TRUE,392839,14656,1412,0,22,People & Blogs,"['mbeem10', 'matthew beem', 'beem team', 'spider-man', 'spider-man no way home', 'giant spiderman', 'I Actually Climbed A Building Like Spiderman', 'andrew garfield', 'most popular superheroes ranked', 'disney junior', 'Post', 'Malone', 'Swae', 'Lee', 'Sunflower', 'airrack', 'Spider-Verse', 'Tom Holland', 'Zendaya', 'peter parker', 'baylen levine', 'BIG SPIDER MAN', 'FLAHO Junior', 'Best Of Spider Man Saves', 'spidey compilation', 'spidey and his amazing friends', 'spiderman for kids', 'spiderman into spiderverse', 'funko pop']"
43,546KChtqyRg,2022-12-06T20:00:02Z,Making useless items useful in Minecraft,UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo,,2d,hd,FALSE,TRUE,544315,46201,2728,0,22,People & Blogs,"['I make Useless Items Useful in Minecraft', 'Mumbo Jumbo Minecraft', 'Mumbo Jumbo', 'Mumbo', 'Minecraft video', 'Minecraft', 'I make useless items useful in Minecraft', 'useless Minecraft features', 'useless Minecraft', 'Minecraft glow squid', 'glow squid', 'Minecraft chest boat', 'Minecraft fletching table', 'Minecraft is a bad game', 'Minecraft redstone builds', 'Minecraft redstone', 'Minecraft engineering skills', 'I made useless features useful in Minecraft', 'useless features useful in Minecraft']"
44,SVpwEiK-j4E,2022-12-06T19:00:06Z,Overwatch 2 - EVERY HERO CHANGE for SEASON 2,UCQH4V9PiY_eLo4Ihr1tWCwQ,KarQ,,2d,hd,FALSE,TRUE,510491,15890,1525,0,22,People & Blogs,"['overwatch 2', 'overwatch 2 season 2', 'overwatch 2 mythic junkerqueen', 'overwatch 2 doomfist buffs', 'overwatch 2 sojourn nerfs', 'overwatch 2 kiriko nerfs', 'overwatch 2 bastion buffs', 'overwatch 2 patch notes', 'overwatch 2 season 2 buffs and nerfs', 'overwatch 2 season 2 changes']"
45,hxp8tWX_Tco,2022-12-06T22:32:25Z,Fortnite Will NEVER Be The Same..,UCYn6CZe5UGIyPe9WJb0pTrg,Top5Gaming,,2d,hd,FALSE,TRUE,1627802,37318,2211,0,20,Gaming,"['fortnite chapter 4', '30 Fortnite UPDATES Coming To CHAPTER 4!', 'fortnite', 'fortnite updates', 'fortnite chapter 4 updates', 'fortnite new update', 'new fortnite update', 'fortnite new', 'new fortnite', 'fortnite chapter 4 easter eggs', 'fortnite chapter 4 secrets', 'fortnite chapter 4 new', 'new fortnite chapter', 'fortnite new chapter', 'fortnite mr beast', 'mr beast fortnite', 'fort', 'nite', 'battle royale', 'chapter 4', 'new', 'update', 'video']"
46,OiwtDNS_ULQ,2022-12-06T22:21:50Z,Hopefully We Are Wrong About This Next Storm,UCBBsPuUY-8UwkSim4zLXp1w,"Ryan Hall, Y'all XTRA",,2d,hd,FALSE,TRUE,527820,24549,856,0,20,Gaming,"['ryan hall', 'ryan hall yall', 'ryanhallyall', 'yall', 'weather', 'weather forecast', 'tornado', 'hurricane', 'snow', 'blizzard', 'meteorologist', 'meteorology', 'weather channel']"
47,QoC8R3KHk8E,2022-12-06T19:25:47Z,My Smart Home is Stupid,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,,2d,hd,FALSE,TRUE,1797416,69636,5387,0,20,Gaming,"['linus smart house heating', 'smart in floor heating', 'fixing my broken smart house', 'my smart house is broken', 'my smart house is stupid']"
48,eTDC7DSiaQY,2022-12-06T04:40:36Z,New Orleans Saints vs. Tampa Bay Buccaneers | 2022 Week 13 Game Highlights,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,,2d,hd,TRUE,TRUE,2786431,30541,5286,0,20,Gaming,
49,JkL6iC0Oilk,2022-12-06T19:31:59Z,THE MOMENT MOROCCO KNOCK SPAIN OUT ON PENALTIES,UCnU7ly6zEcQxUScjhkgFYAQ,Thogden,,2d,hd,FALSE,TRUE,1043101,44847,5607,0,20,Gaming,"['morocco vs spain', 'spain vs morocco', 'maroc', 'frmf', 'Hakimi', 'ziyech', 'dimamaghrib', 'Buono', 'dima maghrib', 'morocco fans', 'morocco vs spain 2022', 'morocco vs spain highlights', 'morocco spain', 'morocco vs spain penalty', 'morocco vs spain penalties', 'morocco 3-0 spain penalties', 'morocco', 'spain', 'morocco vs spain penalty world cup', 'morocco vs spain round of 16', 'morocco Vs Spain 3-0', 'spain vs morocco penalty highlights', 'hakimi penalty', 'hakimi chip', 'morocco vs spain penalty 2022']"
